Ticker,Company
A2M.AX,The a2 Milk Company Ltd
AFI.AX,Australian Foundation Investment Company Ltd
AGL.AX,AGL Energy Ltd
AIA.AX,Auckland International Airport Ltd
ALD.AX,Ampol Ltd
ALL.AX,Aristocrat Leisure Ltd
ALQ.AX,Als Ltd
ALX.AX,Atlas Arteria
AMC.AX,Amcor Plc
ANN.AX,Ansell Ltd  
ANZ.AX,Australia and New Zealand Banking Group Ltd
APA.AX,APA Group
APT.AX,Afterpay Ltd
ARG.AX,Argo Investments Ltd
AST.AX,Ausnet Services Ltd
ASX.AX,ASX Ltd
AWC.AX,Alumina Ltd
AZJ.AX,Aurizon Holdings Ltd
BEN.AX,Bendigo and Adelaide Bank Ltd
BHP.AX,BHP Group Ltd
BLD.AX,Boral Ltd
BOQ.AX,Bank of Queensland Ltd
BSL.AX,Bluescope Steel Ltd
BXB.AX,Brambles Ltd
CBA.AX,Commonwealth Bank of Australia
CCL.AX,Coca-Cola Amatil Ltd
CHC.AX,Charter Hall Group
CIM.AX,Cimic Group Ltd
COH.AX,Cochlear Ltd
COL.AX,Coles Group Ltd  
CPU.AX,Computershare Ltd
CSL.AX,CSL Ltd
CWN.AX,Crown Resorts Ltd
CWY.AX,Cleanaway Waste Management Ltd
DMP.AX,Domino's PIZZA Enterprises Ltd
DXS.AX,Dexus
EVN.AX,Evolution Mining Ltd
FBU.AX,Fletcher Building Ltd
FMG.AX,Fortescue Metals Group Ltd
FPH.AX,Fisher & Paykel Healthcare Corporation Ltd
GMG.AX,Goodman Group
GPT.AX,GPT Group
HVN.AX,Harvey Norman Holdings Ltd
IAG.AX,Insurance Australia Group Ltd
IEL.AX,Idp Education Ltd
IGO.AX,IGO Ltd  
IPL.AX,Incitec Pivot Ltd
JBH.AX,JB Hi-Fi Ltd  
JHX.AX,James Hardie Industries Plc
LLC.AX,Lendlease Group
MCY.AX,Mercury NZ Ltd
MEZ.AX,Meridian Energy Ltd
MFG.AX,Magellan Financial Group Ltd
MGOC.AX,Magellan Global Fund (Open Class) (Managed Fund)
MGR.AX,Mirvac Group  
MIN.AX,Mineral Resources Ltd
MPL.AX,Medibank Private Ltd
MQG.AX,Macquarie Group Ltd
NAB.AX,National Australia Bank Ltd
NCM.AX,Newcrest Mining Ltd
NST.AX,Northern Star Resources Ltd
NXT.AX,NEXTDC Ltd
ORG.AX,Origin Energy Ltd
ORI.AX,Orica Ltd
OSH.AX,Oil Search Ltd
OZL.AX,OZ Minerals Ltd
PMGOLD.AX,Gold
QAN.AX,Qantas Airways Ltd
QBE.AX,QBE Insurance Group Ltd
QUB.AX,QUBE Holdings Ltd
REA.AX,REA Group Ltd
REH.AX,Reece Ltd
RHC.AX,Ramsay Health Care Ltd
RIO.AX,RIO Tinto Ltd
RMD.AX,Resmed Inc
S32.AX,SOUTH32 Ltd
SCG.AX,Scentre Group
SEK.AX,Seek Ltd
SGP.AX,Stockland
SHL.AX,Sonic Healthcare Ltd
SOL.AX,Washington H Soul Pattinson & Company Ltd
SPK.AX,Spark New Zealand Ltd
STO.AX,Santos Ltd
SUN.AX,Suncorp Group Ltd  
SVW.AX,Seven Group Holdings Ltd
SYD.AX,Sydney Airport
TAH.AX,Tabcorp Holdings Ltd
TCL.AX,Transurban Group
TLS.AX,Telstra Corporation Ltd
TPG.AX,TPG Telecom Ltd
TWE.AX,Treasury Wine Estates Ltd
VAS.AX,Vanguard Australian Shares INDEX ETF
VCX.AX,Vicinity Centres
WBC.AX,Westpac Banking Corporation
WES.AX,Wesfarmers Ltd
WOR.AX,Worley Ltd
WOW.AX,Woolworths Group Ltd
WPL.AX,Woodside Petroleum Ltd
WTC.AX,Wisetech Global Ltd
XRO.AX,Xero Ltd
IOZ.AX,
SYI.AX,
GRNV.AX,
CRED.AX,
IOO.AX,
DHHF.AX,
IEM.AX,
IXJ.AX,
ETHI.AX,
NDQ.AX,
