Symbol,Sector
AFI.AX,Financials
ANZ.AX,Financials
ARG.AX,Financials
ASX.AX,Financials
BEN.AX,Financials
BOQ.AX,Financials
CBA.AX,Financials
IAG.AX,Financials
MFG.AX,Financials
MQG.AX,Financials
NAB.AX,Financials
QBE.AX,Financials
SUN.AX,Financials
WBC.AX,Financials
AMC.AX,Materials
BSL.AX,Materials
BHP.AX,Materials
EVN.AX,Materials
FMG.AX,Materials
FBU.AX,Materials
IGO.AX,Materials
MIN.AX,Materials
NST.AX,Materials
ORI.AX,Materials
RIO.AX,Materials
S32.AX,Materials
AGL.AX,Energy
ALD.AX,Energy
ORG.AX,Energy
STO.AX,Energy
ANN.AX,Health Care
COH.AX,Health Care
CSL.AX,Health Care
FPH.AX,Health Care
MPL.AX,Health Care
RHC.AX,Health Care
RMD.AX,Health Care
SHL.AX,Health Care
NXT.AX,Information Technology
WTC.AX,Information Technology
XRO.AX,Information Technology
ALL.AX,Consumer Discretionary
DMP.AX,Consumer Discretionary
HVN.AX,Consumer Discretionary
JBH.AX,Consumer Discretionary
TAH.AX,Consumer Discretionary
WES.AX,Consumer Discretionary
A2M.AX,Cosumer Staples
CCL.AX,Cosumer Staples
COL.AX,Cosumer Staples
TWE.AX,Cosumer Staples
WOW.AX,Cosumer Staples
ALQ.AX,Industrials
ALX.AX,Industrials
AZJ.AX,Industrials
BXB.AX,Industrials
CHC.AX,Industrials
CPU.AX,Industrials
CWY.AX,Industrials
IEL.AX,Industrials
JHX.AX,Industrials
LLC.AX,Industrials
QAN.AX,Industrials
QUB.AX,Industrials
REH.AX,Industrials
SOL.AX,Industrials
TCL.AX,Industrials
WOR.AX,Industrials
APA.AX,Utilities
MCY.AX,Utilities
DXS.AX,Real Estate
GMG.AX,Real Estate
GPT.AX,Real Estate
MGR.AX,Real Estate
SCG.AX,Real Estate
SGP.AX,Real Estate
VCX.AX,Real Estate
REA.AX,Communication Services
SEK.AX,Communication Services
SPK.AX,Communication Services
TPG.AX,Communication Services
TLS.AX,Communication Services
VAS .AX,ETFs
IOZ.AX,ETFs
SYI.AX,ETFs
GRNV.AX,ETFs
CRED.AX,ETFs
IOO.AX,ETFs
DHHF.AX,ETFs
IEM.AX,ETFs
IXJ.AX,ETFs
ETHI.AX,ETFs
NDQ.AX,ETFs
PMGOLD.AX,Commodities
